source_unit,name,age,description,geomaterial
52|mm4,Hornblende gneiss / Amphibolite / Granite gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|pms6a,Sericite schist / Amphibolite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|v1,Mafic to intermediate metavolcanic rocks,Precambrian to Paleozoic,,Meta-volcaniclastic rock
52|mm9,Amphibolite / Mica schist / Biotitic gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|pa2,Sillimanite schist,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|gr1a,Non-porphyritic granite,Precambrian and/or Paleozoic,,"Coarse-grained, felsic-composition intrusive igneous rock"
52|Kb,Blufftown Formation,Cretaceous,,Sandstone and mudstone
52|mm3,Hornblende gneiss / Amphibolite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|pms1,Mica schist,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|q1,Quartzite,Precambrian to Paleozoic,,Quartzite
52|Tcl,Clinchfield Sand,Eocene,,Mostly sandstone
52|q1c,Quartzite / Metagraywacke,Precambrian to Paleozoic,,Metasedimentary rock
52|mm2,Hornblende gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|pm3,Metagraywacke / Mica schist / Calc-silicate gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Ml,Unnamed limestone member,Mississippian,"Floyd Shale; unnamed limestone member (Ml in Floyd County) at the base",Limestone
52|CAcd,Dolostone member,Cambrian,,Dolomite
52|Ti,Irwinton Sand,Eocene,"Up-dip equivalent of Twiggs Clay, Sandersville Limestone, and Cooper Marl. As mapped, also includes younger clastics of indefinite Late Tertiary age.",Mostly sandstone
52|CAcs,Shale and sandstone unit,Cambrian,,Sandstone and mudstone
52|pms4,Mica schist / Quartzite / Gneiss / Amphibolite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Kc,Cusseta Sand,Cretaceous,,Mostly sandstone
52|pms6d,Quartz sericite schist / Biotitic gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Ticm,Cooper Marl,Eocene,"It is now recognized that this unit is not the precise lithologic or biostratigraphic equivalent of type Cooper Marl (Huddlestun, Marsalis & Pickering, 1974).",Carbonate sediment
52|Ke,Eutaw Formation,Cretaceous,,Sandstone and mudstone
52|OCAk,"Knox Group, undifferentiated",Ordovician to Cambrian,,Carbonate rock
