GEOID,B19013_001E,B19013_001M,B25077_001E,B25077_001M,B25064_001E,B25064_001M,B25003_001E,B25003_001M,B25003_003E,B25003_003M,B08301_001E,B08301_001M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_010E,B08301_010M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
13121011435,135000,27581,448200,21001,1700,160,1616,196,622,196,2136,344,1130,255,296,202,12,18,124,163,0,14,0,14,0,14,0,14,574,196
13121011436,163352,22351,594300,46054,-666666666,-222222222,1091,106,12,17,1582,276,912,259,24,25,28,30,0,14,0,14,0,14,56,54,0,14,562,132
13121011437,105188,31108,437000,45308,2099,433,1319,263,729,234,1282,215,615,189,27,41,90,85,23,38,0,14,0,14,34,41,17,20,476,173
13121011438,137814,49023,591400,70969,1767,75,2175,468,1217,488,3475,1386,2139,939,450,503,0,20,54,74,28,45,0,20,38,65,110,143,656,222
13121011439,137928,16656,654200,45254,1777,96,1563,197,361,149,2025,313,894,196,136,133,0,14,0,14,0,14,2,4,31,55,0,14,962,280
13121011440,150250,15040,720000,75273,1773,48,892,89,126,57,1008,189,581,170,57,44,0,14,0,14,0,14,0,14,9,15,0,14,361,123
13121011441,131250,19192,492400,41463,1845,143,1457,162,420,138,2115,314,1340,263,88,52,0,14,10,16,0,14,0,14,37,53,0,14,640,229
13121011442,146429,64823,668200,77269,2038,246,816,112,357,108,925,150,578,131,70,69,0,14,0,14,0,14,0,14,0,14,14,23,263,97
13121011443,193125,42662,945700,63489,2272,219,1005,127,195,72,1537,316,761,163,87,68,0,14,32,46,0,14,0,14,14,22,0,14,643,237
13121011444,184186,26896,928000,95516,-666666666,-222222222,1604,651,0,14,2166,613,690,162,0,14,0,14,0,14,0,14,0,14,15,24,13,20,1448,606
13121011445,108523,37299,707400,86474,1239,887,1022,185,72,64,1222,233,590,159,93,111,66,74,0,14,0,14,0,14,40,40,27,46,406,123
13121011446,196200,22351,579000,53575,-666666666,-222222222,1018,84,0,14,1473,162,878,171,53,57,0,14,0,14,0,14,10,17,0,14,0,14,532,109
13135050306,68611,58823,384600,207369,1919,167,1330,363,518,124,1425,326,680,214,499,205,0,14,0,14,0,14,0,14,0,14,16,26,230,178
13135050315,64835,5096,377700,80054,1500,172,2752,486,1923,509,3768,725,1988,466,632,451,34,57,47,51,0,20,0,20,16,28,0,20,1051,469
13135050317,42480,17051,225000,76627,1623,94,1842,231,1567,239,2228,382,1543,323,380,226,0,14,47,66,0,14,0,14,10,17,20,32,228,143
13135050318,57240,18901,227800,33902,1748,90,1384,189,1125,174,1509,278,908,231,178,143,0,14,153,154,0,14,0,14,0,14,0,14,270,154
13135050321,170865,36057,614400,58840,2897,924,1839,265,84,62,2333,349,1471,279,152,98,10,16,0,20,0,20,0,20,0,20,20,23,680,147
13135050322,193333,30112,595000,22862,2981,851,1464,130,118,97,1957,271,1181,196,154,99,0,14,8,15,0,14,0,14,12,19,9,13,593,173
13135050331,68920,21248,300900,146842,1567,140,930,134,771,156,1199,218,893,204,135,103,0,14,10,16,0,14,0,14,25,39,0,14,136,83
13135050332,58705,17835,317800,48281,1610,101,1395,259,962,228,1582,335,928,323,325,160,42,41,0,14,0,14,0,14,6,13,30,29,251,152
13135050335,66522,6068,417300,46758,1765,111,1409,228,853,232,1375,275,857,239,44,56,9,14,41,60,0,14,0,14,74,89,45,54,305,160
13135050336,102516,12493,410800,29660,2131,275,1723,223,250,103,2064,334,1290,292,25,30,0,14,0,14,0,14,0,14,32,39,16,27,701,211
13135050456,33090,8556,-666666666,-222222222,1748,48,1750,432,1468,440,1701,341,1049,334,312,214,0,14,9,17,0,14,0,14,0,14,0,14,331,179
