GEOID,B03002_001E,B03002_001M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_012E,B03002_012M
131210114321,2345,755,556,296,519,452,0,14,285,206,0,14,0,14,263,256,722,776
131210114322,1544,468,607,195,726,469,0,14,19,31,0,14,0,14,30,49,162,153
131210114323,246,146,191,108,0,14,0,14,55,83,0,14,0,14,0,14,0,14
131210114331,1117,396,872,357,0,14,0,14,24,44,0,14,0,14,195,191,26,45
131210114332,951,253,714,239,121,128,0,14,72,83,0,14,0,14,25,41,19,32
131210114333,1160,517,1017,497,73,81,0,14,0,14,0,14,7,21,46,46,17,28
131210114341,1572,418,894,209,27,47,0,14,44,33,0,14,0,14,50,84,557,344
131210114342,2019,684,872,267,145,161,0,14,138,165,36,40,0,14,161,105,667,618
131210114351,310,252,22,34,159,129,0,14,0,14,0,14,0,14,0,14,129,201
131210114352,1641,540,981,335,387,291,0,14,35,60,0,14,0,14,224,268,14,24
131210114353,2077,524,1657,549,129,112,0,14,96,114,0,14,23,36,59,55,113,153
131210114361,694,278,467,194,0,14,0,14,0,14,0,14,11,18,88,105,128,173
131210114362,1110,266,664,227,261,243,0,14,51,54,0,14,0,14,50,76,84,58
131210114363,1270,455,942,434,16,25,0,14,0,14,0,14,0,14,55,41,257,156
131210114371,1052,328,458,202,315,209,0,14,0,14,0,14,120,176,31,35,128,129
131210114372,572,215,549,214,0,14,0,14,0,14,0,14,10,17,0,14,13,20
131210114373,892,447,562,319,229,242,0,14,67,112,0,14,0,14,7,12,27,32
131210114381,969,375,499,287,94,130,0,14,34,54,0,14,0,14,0,14,342,280
131210114382,814,228,740,202,0,14,0,14,0,14,0,14,0,14,12,20,62,82
131210114383,1220,574,147,106,228,279,0,14,46,74,0,14,25,39,250,259,524,373
131210114384,2306,1498,153,124,412,279,0,14,0,14,0,14,0,14,1266,1463,475,362
131210114391,1919,347,1741,317,32,48,0,14,44,51,0,14,0,14,95,117,7,12
131210114392,2052,553,1242,440,297,171,0,14,75,65,0,14,0,14,58,82,380,376
131210114401,2202,263,1224,288,448,219,0,14,123,95,0,14,62,97,274,170,71,100
131210114411,1161,305,871,317,82,71,0,14,0,14,0,14,0,14,47,68,161,144
131210114412,1245,306,711,260,114,61,14,20,231,151,0,14,26,43,57,52,92,67
131210114413,1495,720,1089,578,25,41,0,14,0,14,0,14,0,14,107,142,274,211
131210114421,657,259,340,136,175,200,0,14,20,31,0,14,9,15,75,72,38,57
131210114422,1063,168,610,157,149,89,0,14,135,112,0,14,0,14,39,32,130,98
131210114431,1289,412,721,256,140,151,0,14,262,297,0,14,27,44,51,82,88,135
131210114432,1819,416,774,315,48,60,0,14,683,237,0,14,0,14,249,257,65,60
131210114441,1670,399,839,208,11,29,0,14,645,299,0,14,66,82,75,72,34,41
131210114442,2208,703,1514,787,404,409,0,14,78,63,4,10,11,19,136,92,61,54
131210114451,1041,249,843,254,132,78,0,14,0,14,0,14,0,14,22,44,44,55
131210114452,1767,409,1349,379,229,177,0,14,65,99,0,14,0,14,32,43,92,95
131210114462,542,231,449,193,0,14,0,14,82,108,0,14,0,14,11,20,0,14
131210114463,1365,297,1247,298,65,109,0,14,41,60,0,14,0,14,0,14,12,24
131350503061,859,344,260,134,0,14,0,14,31,53,0,14,0,14,6,14,562,327
131350503062,1395,851,362,349,116,98,0,14,364,310,0,14,0,14,171,197,382,378
131350503063,1827,523,75,72,0,14,0,14,211,157,0,14,0,14,62,115,1479,525
131350503151,1569,608,452,157,455,309,0,14,118,184,0,14,17,60,30,46,497,466
131350503152,616,193,566,199,0,14,0,14,50,80,0,14,0,14,0,14,0,14
131350503153,1748,734,318,281,744,514,0,14,0,14,0,14,0,14,0,14,686,443
131350503154,2080,704,200,122,1332,520,0,14,0,14,0,14,0,14,23,36,525,466
131350503171,353,208,0,14,228,160,0,14,0,14,0,14,0,14,68,75,57,85
131350503172,1743,699,241,179,541,287,60,77,0,14,0,14,0,14,0,14,901,606
131350503173,1470,360,224,118,625,285,0,14,43,68,0,14,13,21,78,64,487,303
131350503181,1824,545,265,126,1089,471,0,14,124,167,0,14,0,14,0,14,346,221
131350503182,1105,450,242,258,316,224,0,14,0,14,0,14,0,14,0,14,547,327
131350503211,1762,346,1367,224,206,227,0,14,109,111,1,12,34,43,7,14,38,37
131350503212,2088,1183,1905,1186,0,14,0,14,135,101,0,14,18,29,20,33,10,16
131350503213,1511,324,1134,276,81,73,0,14,96,85,0,14,58,91,89,74,53,56
131350503221,1538,590,1421,581,18,27,0,14,45,72,0,14,0,14,23,32,31,43
